Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,5,Steering Control,The centreline of the steering control must not be located to the left of the centreline of the vehicle.,SRP8-022,
2,6.2,Actuation of Engine Start Control conditions,"In the case of an M-Group or N-Group vehicle with an automatic transmission, actuation of the ‘Engine start control’ must not cause the vehicle to move.",SRP8-086,Demonstration
3,6.2,Actuation of Engine Start Control conditions,"In the case of an M-Group or N-Group vehicle with an automatic transmission, actuation of the ‘Engine start control’ must not cause the vehicle to move.",SRP8-175,Demonstration
4,7.1,Movable body panel,"Any movable body panel forward of the windscreen that serves to cover an engine, luggage, storage or battery compartment must be provided with a latch system.",SRP8-005,
5,7.2,Obstructed panel opening,"A panel opening from the front, which in any open position, partially or completely obstructs a driver’s forward view through the windscreen, must be provided with a second latch position on the latch system, or with a second latch system.",SRP8-005,
6,8.2.1,Wiping and washing system for windscreen,Every vehicle with a windscreen must be fitted with a power-driven windscreen wiping system and must have a windscreen washing system that can direct water onto the windscreen within the area swept by the windscreen wiper.,SRP8-082,
7,8.2.1.1,Device for operating wipers and washer,The device or devices for operating the wipers and washer must be able to be controlled by the driver in the normal driving position.,SRP8-022,
8,9.1.1,Demisting of windscreens,"Every vehicle with a windscreen, and a roof or provision for a roof, must be fitted with a device capable of removing condensed moisture from the inside of the windscreen.",SRP8-093,Demonstration
9,10.1,Brake Hose and Brake Tubing (Front Brakes),"Flexible hydraulic brake hoses, air and vacuum brake tubing, air and vacuum hose, and flexible and hydraulic power hose, between the ‘Brake Power Unit 31/00’ or ‘Brake Power Unit 35/...’ and the master cylinder or its equivalent must:
(a) conform to any edition of the United States Federal Motor Vehicle Safety Standard (FMVSS) No. 106 (49.CFR.571.106 – Brake Hoses) in force between 1 October 2010 and the commencement of this rule, or to an applicable SA, SAE, BS, JIS, DIN, ISO or UN standard for flexible brake hoses, air brake tubing or hose, vacuum brake tubing or hose, or hydraulic power tubing or hose, current between 1 January 2005 and the commencement of this rule;3 and
(b) be fitted/routed so as to prevent chafing, kinking or other mechanical damage under normal motion of the moving vehicle parts.",SRP8-045,
10,10.1,Brake Hose and Brake Tubing (Rear Brakes),"Flexible hydraulic brake hoses, air and vacuum brake tubing, air and vacuum hose, and flexible and hydraulic power hose, between the ‘Brake Power Unit 31/00’ or ‘Brake Power Unit 35/...’ and the master cylinder or its equivalent must:
(a) conform to any edition of the United States Federal Motor Vehicle Safety Standard (FMVSS) No. 106 (49.CFR.571.106 – Brake Hoses) in force between 1 October 2010 and the commencement of this rule, or to an applicable SA, SAE, BS, JIS, DIN, ISO or UN standard for flexible brake hoses, air brake tubing or hose, vacuum brake tubing or hose, or hydraulic power tubing or hose, current between 1 January 2005 and the commencement of this rule;3 and
(b) be fitted/routed so as to prevent chafing, kinking or other mechanical damage under normal motion of the moving vehicle parts.",SRP8-046,
