ADR Number,ADR Name
ADR-01,Reversing Lamps
ADR-02,Side Door Latches & Hinges
ADR-03,Seats & Seat Anchorages
ADR-04,Seatbelts
ADR-05,Anchorages For Seatbelts
ADR-06,Direction Indicators
ADR-08,Safety Glazing Material
ADR-10,Steering Column
ADR-11,Internal Sun Visors
ADR-13,Installation of Lighting & Light-Signalling Devices On Other Than L-Group Vehicles
ADR-14,Devices For Indirect Vision
ADR-18,Instrumentation
ADR-21,Instrument Panel
ADR-22,Head Restraints
ADR-23,Passenger Car Tyres
ADR-25,Anti-Theft Lock
ADR-29,Side Door Strength
ADR-31,Brake Systems For Passenger Cars
ADR-34,Child Restraint Anchorages & Child Restraint Anchor Fittings
ADR-42,General Safety Requirements
ADR-43,Vehicle Configuration & Dimensions
ADR-44,Special Purpose Vehicle Requirement
ADR-45,Lighting & Light-Signalling Devices Not Covered By ECE Regulations
ADR-46,Headlamps
ADR-47,Retroreflectors
ADR-48,Devices For Illumination of Rear Registration Plates
ADR-49,"Front & Rear Position (Side) Lamps, Stop Lamps & End-Outline Marker Lamps"
ADR-50,Front Fog Lamps
ADR-51,Filament Lamps
ADR-52,Rear Fog Lamps
ADR-60,Centre High Mounted Stop Lamp
ADR-61,Vehicle Marking
ADR-62,Mechanical Connections Between Vehicles
ADR-69,Full Frontal Impact Occupant Protection
ADR-72,Dynamic Side Impact Occupant Protection
ADR-73,Offset Frontal Impact Occupant Protection
ADR-74,Side Marker Lamps
ADR-75,Headlamp Cleaners
ADR-76,Daytime Running Lamps
ADR-77,Gas Discharge Headlamps
ADR-78,Gas Discharge Light Sources
ADR-79,Emission Control For Light Vehicles
ADR-81,Fuel Consumption Labelling For Light Vehicles
ADR-82,Engine Immobilisers
ADR-83,External Noise
ADR-85,Pole Side Impact Performance
ADR-86,Parking Lamps
ADR-87,Cornering Lamps
ADR-88,Electronic Stability Control
ADR-89,Brake Assist Systems
ADR-90,Steering System
ADR-92,External Projections
ADR-93,Forward Field of View
ADR-94,Audible Warning
ADR-95,Installation of Tyres
ADR-98,Advanced Emergency Braking For Passenger Vehicles & Light Goods Vehicles
ADR-108,Reversing Technologies
ADR-109,Electric Power Train Safety Requirements
ADR-110,Hydrogen-Fuelled Vehicles Safety Related Performance
ADR-111,Advanced Emission Control for Light Vehicles
ADR-112,Control of Real Driving Emissions for Light Vehicles
ADR-113,Acoustic Vehicle Alerting Systems For Quiet Road Transport Vehicles
