Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,6.3,Note that we are exempt from the crash tests in ADR 69,The front seats of vehicles meeting the requirements of ADR 69/... will be deemed to meet the requirement of paragraph 2 of Annex 7 of Appendix A.,SRP8-032,N/A
2,6.4,Appendix Paragraph 6.2 conditions,"The requirements of Appendix A paragraph 6.2 must be met, except that instead of “longitudinally and rearwards to the upper part of the seat-back frame through a component simulating the back of the manikin shown in Annex 3 to this Regulation”, a force producing a moment of 53 daNm in relation to the R point may be applied directly to the upper cross member of the seat-back in a rearward longitudinal direction either:
6.4.1 horizontally; or
6.4.2 normal to the seat back.",SRP8-032,ADR Testing Procedure
3,6.5,Alternative to 6.3.1 and 6.3.2,"As an alternative to the requirements of Appendix A paragraphs 6.3.1 and 6.3.2, a static test load equivalent to 20 times the weight of the entire seat may be applied at the seat centre of mass. This load must be applied in turn both horizontally forward and horizontally rearward and must be sustained for at least one second.",SRP8-032,ADR Testing Procedure
4,6.5.1,Locking systems,Locking and displacement systems must be constructed to preclude inertial release when loaded both horizontally forward and horizontally rearward to 20g.,SRP8-032,
5,6.5.1,Locking systems,Locking and displacement systems must be constructed to preclude inertial release when loaded both horizontally forward and horizontally rearward to 20g.,SRP8-036,
7,5.2,General Requirements,General requirements applicable to all seats of vehicles of category M1,,
8,5.2.1,Locking systems,"Every adjustment and displacement system provided shall incorporate a locking system, which shall operate automatically.",SRP8-032,Demonstration
9,5.2.1,Locking systems,"Every adjustment and displacement system provided shall incorporate a locking system, which shall operate automatically.",SRP8-036,
10,5.2.3,Testing (tbc),"The rear parts of seats situated in area 1, defined in paragraph 6.8.1.1. below shall pass the energy dissipation test in accordance with the requirements of Annex 6 to this Regulation.",SRP8-032,ADR Testing Procedure
11,5.2.3.1,Testing (tbc),"This requirement is deemed to be met if in the tests carried out by the procedure specified in Annex 6 to this Regulation the deceleration of the headform does not exceed 80 g continuously for more than 3 ms. Moreover, no dangerous edge shall occur during or remain after the test.",SRP8-032,ADR Testing Procedure
12,5.2.5,Testing (tbc),"No failure shall be shown in the seat frame or in the seat anchorage, the adjustment and displacement systems or their locking devices during or after the tests prescribed in paragraphs 6.2. and 6.3. below. Permanent deformations, including ruptures, may be accepted, provided that these do not increase the risk of injury in the event of a collision and the prescribed loads were sustained.",SRP8-032,Test
13,5.2.5,Testing (tbc),"No failure shall be shown in the seat frame or in the seat anchorage, the adjustment and displacement systems or their locking devices during or after the tests prescribed in paragraphs 6.2. and 6.3. below. Permanent deformations, including ruptures, may be accepted, provided that these do not increase the risk of injury in the event of a collision and the prescribed loads were sustained.",SRP8-036,
14,5.2.6,Locking systems,"No release of the locking systems shall occur during the tests described in paragraph 6.3. below and in Annex 9, paragraph 2.1. to this Regulation.",SRP8-036,
15,5.2.7,Testing (tbc),"After the tests, the displacement systems intended for permitting or facilitating the access of occupants shall be in working order; they shall be capable, at least once, of being unlocked and shall permit the displacement of the seat or the part of the seat for which they are intended. Any other displacement systems, as well as adjustment systems and their locking systems are not required to be in working order.",,N/A
16,5.2.7,Testing,"In the case of seats provided with head restraints, the strength of the seat-back and of its locking devices is deemed to meet the requirements set out in paragraph 6.2. when, after testing in accordance with paragraph 6.4.3.6 below., no breakage of the seat or seatback has occurred: otherwise, it shall be shown that the seat is capable of meeting the test requirements set out in paragraph 6.2. below.",SRP8-032,N/A
17,5.3.1,Mounting,Seats and bench seats shall be firmly attached to the vehicle.,SRP8-032,Simulation/Calculation
18,5.3.1,Mounting,Seats and bench seats shall be firmly attached to the vehicle.,SRP8-036,
19,5.3.2,Mounting,"for head restraints not adjustable for height, the height shall be not less than 800 mm in the case of front seats and 750 mm in the case of other seats.",SRP8-032,Inspection
20,5.4,Head Restraints,Mounting of head restraints,,
21,5.4.1,Head Restraints,"A head restraint shall be mounted on every outboard front seat in every vehicle of category M1. Seats fitted with head restraints, intended for fitment in other seating positions and in other categories of vehicles may also be approved to this Regulation.",SRP8-032,N/A
22,5.5,Head Restraints,Special requirements for seats fitted or capable of being fitted with head restraints,SRP8-032,N/A
23,5.5.1,Head Restraints,"The presence of the head restraint shall not be an additional cause of danger to occupants of the vehicle. In particular, it shall not in any position of use exhibit any dangerous roughness or sharp edge liable to increase the risk or seriousness of injury to the occupants.",SRP8-032,Inspection + Simulation
24,5.5.1.1,Head Restraints,"Parts of the front and rear faces of head restraints situated in area 1 as defined in paragraph 6.8.1.1.3. below, shall be so padded as to prevent any direct contact of the head with the components of the structure",SRP8-032,Inspection
