Project ID,Project Name,Primary Department,Secondary Department,1st ADR,2nd ADR,3rd ADR,4th ADR,5th ADR,6th ADR
SRP8-001,Doors,Chassis & Bodywork ,,ADR-02,ADR-29,ADR-93,ADR-92,,
SRP8-002,Door Handles ,Chassis & Bodywork ,,ADR-92,,,,,
SRP8-003,Windscreen ,Chassis & Bodywork ,,ADR-08,ADR-93,ADR-92,,,
SRP8-004,Boot ,Chassis & Bodywork ,,ADR-92,ADR-43,,,,
SRP8-005,Bonnet ,Chassis & Bodywork ,,ADR-42,ADR-92,,,,
SRP8-010,Ventilation ,Chassis & Bodywork ,Energy Systems ,,,,,,
SRP8-011,Tailights ,Embedded Systems ,Chassis & Bodywork ,ADR-13,ADR-01,ADR-49,ADR-48,,
SRP8-012,Headlights,Embedded Systems ,Chassis & Bodywork ,ADR-13,ADR-76,ADR-46,ADR-92,ADR-06,
SRP8-013,Indicators ,Embedded Systems ,Chassis & Bodywork ,ADR-13,ADR-06,,,,
SRP8-014,Regen Braking ,Embedded Systems ,,ADR-31,,,,,
SRP8-016,Battery ,Energy Systems ,Chassis & Bodywork ,ADR-109,,,,,
SRP8-017,Auxillary Power Distribution,Energy Systems ,Energy Systems ,,,,,,
SRP8-018,Energy Control,Energy Systems ,,ADR-90,ADR-90,,,,
SRP8-019,MPPTs ,Energy Systems ,,,,,,,
SRP8-020,Solar Array,Energy Systems ,Chassis & Bodywork ,,,,,,
SRP8-021,Charging,Energy Systems ,Chassis & Bodywork ,ADR-109,,,,,
SRP8-022,Steering Wheel ,Interior ,Embedded Systems ,ADR-10,ADR-10,ADR-93,,,
SRP8-023,Interior Lights,Interior ,Embedded Systems ,,,,,,
SRP8-024,Rear Vision System ,Interior ,Chassis & Bodywork ,ADR-14,,,,,
SRP8-025,Side Vision System ,Interior ,Chassis & Bodywork ,,,,,,
SRP8-026,Pedals ,Interior ,,ADR-31,,,,,
SRP8-027,Ceiling,Interior ,Chassis & Bodywork ,ADR-11,ADR-21,ADR-42,,,
SRP8-028,Central Display ,Interior ,Chassis & Bodywork ,ADR-42,ADR-21,,,,
SRP8-029,Driver Display,Interior ,Embedded Systems ,ADR-42,ADR-18,ADR-18,ADR-31,ADR-90,ADR-90
SRP8-032,Front Seats ,Interior ,,ADR-03,ADR-21,ADR-42,ADR-42,,
SRP8-034,Front Seatbelts ,Interior ,,ADR-04,ADR-05,ADR-69,ADR-42,,
SRP8-036,Front Seat Mount ,Interior ,,ADR-03,ADR-42,,,,
SRP8-037,Dashboard,Interior ,,ADR-21,,,,,
SRP8-038,Motors ,Powertrain ,Chassis & Bodywork ,,,,,,
SRP8-039,Powertrain Electronics ,Powertrain ,Energy Systems ,ADR-113,ADR-109,,,,
SRP8-043,Front Suspension,Vehicle Dynamics ,Chassis & Bodywork ,ADR-90,,,,,
SRP8-044,Rear Suspension ,Vehicle Dynamics ,Chassis & Bodywork ,,,,,,
SRP8-045,Front Brakes ,Vehicle Dynamics ,,ADR-31,ADR-42,ADR-90,,,
SRP8-046,Rear Brakes ,Vehicle Dynamics ,,ADR-31,ADR-42,,,,
SRP8-047,Handbrake ,Vehicle Dynamics ,Interior ,ADR-31,,,,,
SRP8-048,Steering Column ,Vehicle Dynamics ,Chassis & Bodywork ,ADR-10,ADR-90,,,,
SRP8-049,Steering Rack ,Vehicle Dynamics ,Chassis & Bodywork ,ADR-90,ADR-43,,,,
SRP8-050,Front Wheels ,Vehicle Dynamics ,,ADR-42,ADR-92,ADR-95,ADR-23,ADR-43,
SRP8-051,Rear Wheels ,Vehicle Dynamics ,,ADR-42,ADR-92,ADR-23,ADR-23,ADR-43,
SRP8-055,Unified Embedded Node,Embedded Systems ,,ADR-42,ADR-45,ADR-90,,,
SRP8-056,Embedded Testbed,Embedded Systems ,,ADR-109,,,,,
SRP8-057,Horn,Embedded Systems ,,ADR-94,ADR-02,ADR-02,,,
SRP8-058,Drive Control Systems,Embedded Systems ,Powertrain ,ADR-109,,,,,
SRP8-059,Sensors ,Embedded Systems ,,ADR-109,,,,,
SRP8-061,Telemetry,Technical Support Systems ,,,,,,,
SRP8-064,Wiring Harnesses,Embedded Systems ,,,,,,,
SRP8-065,Occupant Cell,Chassis & Bodywork ,,ADR-93,ADR-92,ADR-43,,,
SRP8-066,Front Crash Structures,Chassis & Bodywork ,,,,,,,
SRP8-077,Central Stop Lamp,Embedded Systems ,,ADR-13,ADR-60,ADR-49,,,
SRP8-081,Subframes ,Chassis & Bodywork ,,,,,,,
SRP8-082,Windscreen Wipers ,Chassis & Bodywork ,,ADR-42,,,,,
SRP8-083,Active Aero,Chassis & Bodywork ,,ADR-92,,,,,
SRP8-084,Audio ,Embedded Systems ,Interior ,,,,,,
SRP8-085,NVH,Interior ,,ADR-113,ADR-92,ADR-109,,,
SRP8-086,Transmission,Powertrain ,,ADR-42,ADR-42,,,,
SRP8-088,Front Uprights,Vehicle Dynamics ,,ADR-90,,,,,
SRP8-089,Rear Uprights,Vehicle Dynamics ,,,,,,,
SRP8-092,Auxiliary Systems Logic,Embedded Systems ,,,,,,,
